Name,Team,xBA,xSLG,xwOBA,Barrel%,HardHit%,Max EV,xwOBA_vs_R,xwOBA_vs_L,Batting_Order,PA_L14,xwOBA_L14,Hit_Prob_Score,HR_Prob_Score
Tristan Gray,MIN,0.266,0.405,0.315,6.9,34.8,108.5,0.309,0.299,6,33,0.318,59.0,44.5
Victor Caratini,MIN,0.219,0.312,0.324,6.1,30.5,108.0,0.318,0.308,6,34,0.427,60.2,37.0
Alec Bohm,PHI,0.228,0.371,0.295,6.4,32.0,108.2,0.289,0.28,6,48,0.348,64.2,41.0
Brandon Marsh,PHI,0.327,0.508,0.372,8.5,42.7,109.2,0.365,0.353,6,47,0.377,75.1,55.2
Bryce Harper,PHI,0.269,0.52,0.387,8.8,44.1,109.4,0.379,0.368,6,48,0.473,74.5,56.9
Bryson Stott,PHI,0.232,0.39,0.297,6.6,33.1,108.3,0.291,0.282,6,45,0.348,63.1,42.6
Derek Hill,PHI,0.218,0.385,0.299,6.6,33.0,108.3,0.293,0.284,6,17,0.191,39.9,42.4
J.T. Realmuto,PHI,0.201,0.291,0.294,5.6,28.0,107.8,0.288,0.279,6,35,0.215,48.4,34.1
Justin Crawford,PHI,0.233,0.336,0.302,6.1,30.6,108.0,0.296,0.287,6,34,0.25,52.8,38.2
Kyle Schwarber,PHI,0.245,0.582,0.373,9.3,46.5,109.7,0.366,0.354,6,54,0.404,71.7,61.6
Trea Turner,PHI,0.228,0.348,0.289,6.1,30.6,108.0,0.283,0.275,6,51,0.29,62.8,38.8
Austin Riley,ATL,0.214,0.367,0.307,6.5,32.5,108.2,0.301,0.292,6,40,0.315,57.1,41.1
Dominic Smith,ATL,0.296,0.46,0.344,7.8,39.0,108.9,0.337,0.327,6,37,0.231,59.6,50.3
Jorge Mateo,ATL,0.302,0.494,0.355,8.2,41.2,109.1,0.348,0.337,6,20,0.265,53.5,53.5
Matt Olson,ATL,0.275,0.573,0.357,9.0,45.2,109.5,0.35,0.339,6,48,0.348,68.9,60.2
Mauricio Dubón,ATL,0.264,0.416,0.332,7.2,36.1,108.6,0.325,0.315,6,43,0.396,67.7,46.0
Michael Harris II,ATL,0.309,0.516,0.351,8.4,42.1,109.2,0.344,0.333,6,43,0.364,70.6,55.2
Mike Yastrzemski,ATL,0.241,0.361,0.336,6.7,33.6,108.3,0.329,0.319,6,35,0.329,58.0,41.5
Ozzie Albies,ATL,0.289,0.457,0.355,7.9,39.4,109.0,0.348,0.337,6,46,0.406,72.2,50.5
Andrew Benintendi,CWS,0.24,0.418,0.31,7.0,35.1,108.5,0.304,0.294,6,41,0.381,63.5,45.5
Chase Meidroth,CWS,0.287,0.405,0.368,7.5,37.4,108.8,0.361,0.35,6,48,0.419,73.7,46.5
Colson Montgomery,CWS,0.226,0.481,0.335,7.9,39.5,109.0,0.328,0.318,6,39,0.323,58.2,51.7
Drew Romo,CWS,0.168,0.41,0.276,6.6,33.1,108.3,0.27,0.262,6,24,0.145,36.0,43.6
Edgar Quero,CWS,0.19,0.248,0.275,5.0,24.9,107.5,0.27,0.261,6,22,0.197,39.9,29.9
Jacob Gonzalez,CWS,0.272,0.377,0.386,7.4,36.9,108.7,0.378,0.367,6,35,0.386,64.0,44.7
Luisangel Acuña,CWS,0.205,0.227,0.263,4.7,23.2,107.3,0.258,0.25,6,17,0.427,50.3,27.6
Miguel Vargas,CWS,0.256,0.512,0.391,8.8,43.9,109.4,0.383,0.371,6,52,0.446,73.9,56.4
Randal Grichuk,CWS,0.278,0.555,0.324,8.5,42.7,109.2,0.318,0.308,6,23,0.363,57.5,57.6
Sam Antonacci,CWS,0.289,0.383,0.402,7.6,38.0,108.8,0.394,0.382,6,46,0.406,72.2,45.8
Tristan Peters,CWS,0.303,0.454,0.373,8.0,40.1,109.0,0.366,0.354,6,34,0.427,68.7,50.8
Connor Norby,MIA,0.214,0.349,0.34,6.6,33.2,108.3,0.333,0.323,6,16,0.39,48.9,40.7
Esteury Ruiz,MIA,0.205,0.483,0.312,7.7,38.5,108.8,0.306,0.296,6,20,0.515,56.2,51.1
